"Date/Time (PST)","Barometric Pressure  (mb) ","Battery Voltage  (v) ","Precipitation  ("") ","Relative Humidity  (%) ","Total Snow Depth  ("") ","24 Hour Snow  ("") ","Solar Radiation  (W/m2) ","Temperature  (deg F) "
"2016-12-29 13:00:00",1019.609,11.88,0,91.8,53.68,0.766,,28.85
"2016-12-29 12:00:00",1020.617,11.88,0,87.7,53.28,0.766,,29.78
"2016-12-29 11:00:00",1021.311,11.88,0,91,53.55,0.766,,29.04
"2016-12-29 10:00:00",1021.878,11.88,0,94.1,55.17,0.834,,27.44
"2016-12-29 09:00:00",1021.752,11.88,0,94.8,53.95,0.834,,26.57
"2016-12-29 08:00:00",1021.752,11.88,0,95.6,54.16,0.969,,25.77
"2016-12-29 07:00:00",1022.004,11.88,0.01,95.8,54.16,0.969,,25.65
"2016-12-29 06:00:00",1022.634,11.89,0.01,96.1,54.22,0.968,,25.46
"2016-12-29 05:00:00",1023.264,11.9,0.02,95.9,54.36,1.777,,25.4
"2016-12-29 04:00:00",1023.769,11.91,0.02,95.9,54.36,1.778,,25.59
"2016-12-29 03:00:00",1024.399,11.93,0.04,95.2,53.75,1.238,,25.65
"2016-12-29 02:00:00",1024.966,11.94,0.02,95.6,53.55,1.171,,25.46
"2016-12-29 01:00:00",1025.722,11.96,0.01,95.8,53.41,0.766,,25.65
"2016-12-29 00:00:00",1025.722,11.98,0,95.9,53.41,0.833,,25.46
"2016-12-28 23:00:00",1026.039,12,0,96,53.68,0.833,,25.34
"2016-12-28 22:00:00",1026.555,12.02,0,96.2,53.54,0.832,,25.1
"2016-12-28 21:00:00",1026.449,12.04,0,96.8,53.74,0.83,,24.61
"2016-12-28 20:00:00",1026.837,12.06,0,96.9,54.47,0.828,,23.56
"2016-12-28 19:00:00",1026.368,12.09,0,96.2,53.68,0.765,,21.58
"2016-12-28 18:00:00",1026.416,12.12,0,94,54.09,0.766,,22.32
"2016-12-28 17:00:00",1026.794,12.17,0,92.2,54.02,0.834,,24.85
"2016-12-28 16:00:00",1026.747,12.27,0,86.2,206.7,0.773,,28.29
"2016-12-28 15:00:00",1027.117,12.74,0,84.2,69.22,0.706,,30.63
"2016-12-28 14:00:00",1026.865,12.63,0,75.48,52.63,0.369,,33.9
"2016-12-28 13:00:00",1026.991,12.53,0,67.53,54.52,0.572,,38.46
"2016-12-28 12:00:00",1027.375,12.32,0,71.95,53.17,0.774,,35.19
"2016-12-28 11:00:00",1028.054,11.92,0,85.9,53.95,0.766,,32.74
"2016-12-28 10:00:00",1027.802,11.89,0,91.5,54.49,0.766,,30.58
"2016-12-28 09:00:00",1027.235,11.88,0,94.6,54.76,0.766,,28.79
"2016-12-28 08:00:00",1026.668,11.87,0.01,95,54.9,0.766,,27.37
"2016-12-28 07:00:00",1026.289,11.87,0,96.6,54.9,0.766,,27
"2016-12-28 06:00:00",1025.659,11.88,0.01,96.6,54.76,0.766,,26.7
"2016-12-28 05:00:00",1025.029,11.88,0.02,96.4,55.84,7.307,,27.37
"2016-12-28 04:00:00",1024.021,11.88,0.01,96.4,56.11,7.307,,27.56
"2016-12-28 03:00:00",1023.264,11.88,0.04,96.2,54.76,7.172,,27.74
"2016-12-28 02:00:00",1022.256,11.88,0.08,95.9,52.27,7.104,,27.93
"2016-12-28 01:00:00",1021.247,11.88,0.08,94.9,55.44,6.632,,27.87
"2016-12-28 00:00:00",1020.743,11.88,0.11,91.5,54.09,6.093,,28.24
"2016-12-27 23:00:00",1020.113,11.88,0.09,92.6,53.82,5.688,,28.18
"2016-12-27 22:00:00",1019.231,11.88,0.06,93.9,47.75,5.149,,28.3
"2016-12-27 21:00:00",1018.222,11.88,0.04,89.9,52.74,5.014,,28.48
"2016-12-27 20:00:00",1017.592,11.88,0.03,91.4,53.28,4.812,,28.61
"2016-12-27 19:00:00",1016.836,11.88,0.04,90,52.34,4.407,,28.85
"2016-12-27 18:00:00",1016.206,11.88,0.04,94.2,53.01,3.328,,28.73
"2016-12-27 17:00:00",1015.575,11.88,0.03,90.5,52.54,4.003,,29.16
"2016-12-27 16:00:00",1014.693,11.88,0.07,90.8,52.47,3.733,,29.47
"2016-12-27 15:00:00",1014,11.89,0.08,94.1,51.46,3.059,,29.29
"2016-12-27 14:00:00",1013.685,11.9,0.02,91,50.99,2.317,,29.84
"2016-12-27 13:00:00",1013.937,11.92,0.02,81.5,50.99,2.25,,31.14
"2016-12-27 12:00:00",1013.937,11.91,0.04,85.8,49.57,2.047,,31.51
"2016-12-27 11:00:00",1013.432,11.89,0,93,51.12,2.047,,30.21
"2016-12-27 10:00:00",1012.802,11.88,0,95.5,52.34,1.778,,29.59
"2016-12-27 09:00:00",1012.046,11.87,0,95.1,50.45,1.441,,28.92
"2016-12-27 08:00:00",1012.109,11.87,0,93.2,50.85,1.373,,28.73
"2016-12-27 07:00:00",1011.92,11.87,0,96.8,52.33,1.372,,26.82
"2016-12-27 06:00:00",1011.816,11.87,0,96,49.83,0.763,,24.85
"2016-12-27 05:00:00",1012.346,11.87,0,95.2,52.04,9.59,,22.76
"2016-12-27 04:00:00",1012.599,11.87,0,93.9,50.3,9.19,,21.28
"2016-12-27 03:00:00",1013.358,11.87,0,93.5,50.02,8.85,,21.03
"2016-12-27 02:00:00",1013.357,11.87,0,93.4,65.53,8.58,,21.1
"2016-12-27 01:00:00",1013.485,11.87,0,93.3,49.48,8.24,,20.85
"2016-12-27 00:00:00",1014.24,11.87,0,93.4,48.13,7.368,,21.1
"2016-12-26 23:00:00",1014.862,11.88,0,93.8,47.72,6.761,,20.85
"2016-12-26 22:00:00",1015.619,11.88,0,93.7,45.98,4.874,,20.79
"2016-12-26 21:00:00",1016.004,11.88,0,93.8,43.68,2.917,,20.91
"2016-12-26 20:00:00",1016.755,11.88,0,93.4,42.33,2.175,,21.03
"2016-12-26 19:00:00",1017.639,11.88,0,93.4,41.8,1.974,,21.16
"2016-12-26 18:00:00",1018.395,11.89,0,93.3,41.39,1.367,,21.22
"2016-12-26 17:00:00",1019.064,11.89,0,92.2,41.6,0.763,,21.83
"2016-12-26 16:00:00",1019.997,11.9,0,89.2,41.41,0.699,,22.69
"2016-12-26 15:00:00",1019.483,11.92,0,87.8,41.61,0.699,,23.31
"2016-12-26 14:00:00",1019.861,11.97,0,84.8,41.28,0.699,,23.98
"2016-12-26 13:00:00",1020.869,12.01,0,81.6,41.21,0.564,,25.16
"2016-12-26 12:00:00",1020.996,12.02,0,82.3,41.41,0.564,,25.09
"2016-12-26 11:00:00",1021.912,11.99,0,88.7,41.53,0.694,,23.13
"2016-12-26 10:00:00",1022.307,11.94,0,91.6,41.65,0.692,,22.88
"2016-12-26 09:00:00",1021.798,11.92,0,94.3,41.92,0.691,,20.79
"2016-12-26 08:00:00",1021.546,11.92,0,93.7,42.59,0.69,,20.29
"2016-12-26 07:00:00",1021.059,11.93,0,93.5,42.05,0.69,,20.17
"2016-12-26 06:00:00",1021.061,11.95,0,93.5,42.05,0.69,,20.36
"2016-12-26 05:00:00",1020.812,11.97,0,93.7,42.05,0.691,,20.17
"2016-12-26 04:00:00",1020.821,11.98,0,93.4,41.92,0.69,,19.93
"2016-12-26 03:00:00",1020.826,12,0,93.8,42.04,0.685,,19.68
"2016-12-26 02:00:00",1020.459,12.02,0,94.3,42.05,0.688,,19.38
"2016-12-26 01:00:00",1020.213,12.04,0,94.7,42.03,0.685,,18.95
"2016-12-26 00:00:00",1019.956,12.06,0,94.9,42.16,0.684,,18.51
"2016-12-25 23:00:00",1019.842,12.08,0,94.8,42.3,0.549,,18.27
"2016-12-25 22:00:00",1019.585,12.1,0,93.9,43.25,0.686,,18.39
"2016-12-25 21:00:00",1018.83,12.12,0,94.9,42.16,0.549,,20
"2016-12-25 20:00:00",1018.833,12.14,0,95.2,42.3,0.684,,17.53
"2016-12-25 19:00:00",1018.303,12.16,0,96,42.17,0.686,,16.79
"2016-12-25 18:00:00",1017.76,12.19,0,93.9,42.87,0.559,,16.96
"2016-12-25 17:00:00",1017.97,12.24,0,91.4,42.22,0.699,,18.62
"2016-12-25 16:00:00",1017.465,12.34,0,83.6,41.95,0.565,,22.2
"2016-12-25 15:00:00",1016.783,12.82,0,70.58,41.31,0.504,,29.03
"2016-12-25 14:00:00",1016.783,13.12,0,56.44,35.37,0.369,,37.47
"2016-12-25 13:00:00",1016.584,12.79,0,60.18,39.93,0.294,,35.14
"2016-12-25 12:00:00",1016.332,12.18,0,74.33,41.28,0.564,,29.35
"2016-12-25 11:00:00",1016.338,12.05,0,85.9,41.82,0.564,,26.27
"2016-12-25 10:00:00",1016.381,11.94,0,92,41.93,0.692,,23.25
"2016-12-25 09:00:00",1015.413,11.9,0,94.1,58.1,0.688,,20.3
"2016-12-25 08:00:00",1014.624,11.89,0,96.1,42.61,0.694,,17.09
"2016-12-25 07:00:00",1014.039,11.89,0,94.4,42.47,0.558,,18.44
"2016-12-25 06:00:00",1014.098,11.89,0,95.5,41.67,0.561,,22.26
"2016-12-25 05:00:00",1013.845,11.9,0,95.3,41.53,0.761,,22.88
"2016-12-25 04:00:00",1013.722,11.9,0,95,41.26,0.76,,22.88
"2016-12-25 03:00:00",1013.728,11.9,0,95.2,41.12,0.761,,22.14
"2016-12-25 02:00:00",1013.346,11.9,0,95.1,41.52,0.76,,21.9
"2016-12-25 01:00:00",1012.966,11.91,0,95.8,42.6,0.691,,21.77
"2016-12-25 00:00:00",1012.702,11.9,0,96.5,42.87,0.693,,21.83
"2016-12-24 23:00:00",1012.425,11.91,0,95.7,42.89,0.766,,23.24
"2016-12-24 22:00:00",1012.174,11.91,0,95.5,42.75,0.765,,24.11
"2016-12-24 21:00:00",1012.298,11.91,0,95.8,42.96,0.766,,24.72
"2016-12-24 20:00:00",1012.046,11.91,0,95.4,42.9,0.834,,24.66
"2016-12-24 19:00:00",1011.92,11.92,0,94.6,44.24,0.766,,24.72
"2016-12-24 18:00:00",1011.542,11.92,0,94.3,58.13,0.834,,25.28
"2016-12-24 17:00:00",1011.29,11.93,0,93,42.9,0.766,,25.65
"2016-12-24 16:00:00",1010.974,11.98,0,91.2,42.83,0.834,,26.57
"2016-12-24 15:00:00",1010.659,12.06,0,89.8,42.83,0.834,,27.87
"2016-12-24 14:00:00",1010.153,12.21,0.01,86.5,43.44,0.766,,28.79
"2016-12-24 13:00:00",1010.155,11.99,0.01,83.3,43.03,0.564,,31.57
"2016-12-24 12:00:00",1010.155,11.97,0.02,88.6,41.28,0.766,,29.22
"2016-12-24 11:00:00",1010.407,11.93,0.02,86.7,42.22,0.766,,30.09
"2016-12-24 10:00:00",1010.281,11.92,0.01,92.3,41.95,0.699,,28.36
"2016-12-24 09:00:00",1009.777,11.92,0.01,95.4,41.82,0.564,,26.7
"2016-12-24 08:00:00",1009.021,11.91,0,95.8,42.29,0.564,,24.6
"2016-12-24 07:00:00",1008.643,11.91,0.01,96.1,42.76,0.699,,25.53
"2016-12-24 06:00:00",1008.391,11.91,0.01,96,42.36,0.766,,25.96
"2016-12-24 05:00:00",1008.138,11.92,0.02,96.2,43.44,2.182,,25.9
"2016-12-24 04:00:00",1007.886,11.92,0.02,96.3,43.03,2.25,,25.83
"2016-12-24 03:00:00",1007.634,11.92,0.01,96.4,42.09,2.182,,25.59
"2016-12-24 02:00:00",1007.256,11.92,0.02,96.2,42.49,1.778,,25.46
"2016-12-24 01:00:00",1006.626,11.92,0.01,96,42.36,1.643,,25.59
"2016-12-24 00:00:00",1006.374,11.92,0.03,96.1,43.44,2.317,,25.77
"2016-12-23 23:00:00",1005.933,11.92,0.02,96,43.3,1.845,,25.83
"2016-12-23 22:00:00",1005.239,11.92,0.02,96,40.81,2.452,,25.65
"2016-12-23 21:00:00",1004.609,11.92,0.02,95.6,43.3,2.587,,25.16
"2016-12-23 20:00:00",1004.357,11.92,0.01,95.3,39.79,2.452,,25.16
"2016-12-23 19:00:00",1003.979,11.92,0.02,94.8,211.6,2.317,,24.91
"2016-12-23 18:00:00",1003.601,11.92,0.02,94.9,41.88,2.317,,24.97
"2016-12-23 17:00:00",1003.475,11.92,0.01,94.6,41.14,2.25,,25.28
"2016-12-23 16:00:00",1003.097,11.93,0.03,93.2,42.56,2.182,,25.4
"2016-12-23 15:00:00",1002.214,11.93,0.01,91.3,42.56,2.047,,26.14
"2016-12-23 14:00:00",1001.71,11.93,0.01,92,42.56,1.845,,26.2
"2016-12-23 13:00:00",1001.08,11.94,0.01,92.6,43.17,1.575,,26.08
"2016-12-23 12:00:00",1001.458,11.94,0,93.1,42.63,1.778,,25.59
"2016-12-23 11:00:00",1001.592,11.93,0.01,94.2,42.63,1.575,,24.66
"2016-12-23 10:00:00",1001.73,11.93,0,94.5,41.94,1.37,,24.36
"2016-12-23 09:00:00",1001.101,11.93,0,95.3,41.6,0.83,,23.31
"2016-12-23 08:00:00",1000.734,11.93,0.01,95.5,41.25,0.692,,22.94
"2016-12-23 07:00:00",1001.049,11.93,0,95.1,41.66,0.694,,22.63
"2016-12-23 06:00:00",1001.494,11.93,0,94.3,41.79,0.691,,22.39
"2016-12-23 05:00:00",1002.249,11.94,0.01,94.5,39.51,2.718,,22.02
"2016-12-23 04:00:00",1002.862,11.94,0.01,94,40.52,2.313,,22.75
"2016-12-23 03:00:00",1003.878,11.94,0,94.5,36.14,1.91,,23.31
"2016-12-23 02:00:00",1003.865,11.94,0,94.6,37.63,0.966,,22.94
"2016-12-23 01:00:00",1004.485,11.94,0,93.2,40.06,0.766,,23.8
"2016-12-23 00:00:00",1005.113,11.94,0,93.5,39.39,0.564,,24.85
"2016-12-22 23:00:00",1005.996,11.95,0,94.7,38.45,0.699,,25.34
"2016-12-22 22:00:00",1006.878,11.95,0,95.2,39.73,0.699,,25.71
"2016-12-22 21:00:00",1007.697,11.95,0.01,95,39.93,0.766,,26.45
"2016-12-22 20:00:00",1008.391,11.95,0,95.6,40.4,0.834,,26.7
"2016-12-22 19:00:00",1008.643,11.95,0,94.8,39.93,0.766,,26.88
"2016-12-22 18:00:00",1008.769,11.96,0,94.8,41.41,0.766,,27.37
"2016-12-22 17:00:00",1009.651,11.98,0,93,40.06,0.766,,26.88
"2016-12-22 16:00:00",1009.903,12.04,0,90.2,41.08,0.699,,26.82
"2016-12-22 15:00:00",1010.344,12.1,0,89,39.66,0.699,,27.25
"2016-12-22 14:00:00",1010.281,12.17,0,88.6,39.66,0.564,,27.56
"2016-12-22 13:00:00",1011.29,12.23,0,87.9,39.66,0.564,,27.44
"2016-12-22 12:00:00",1012.676,12.45,0,85.9,40.74,0.564,,26.08
"2016-12-22 11:00:00",1012.928,12.21,0,89.5,39.25,0.564,,26.33
"2016-12-22 10:00:00",1013.219,12.04,0,91.3,39.9,0.558,,23.13
"2016-12-22 09:00:00",1013.476,11.96,0,94.6,39.91,0.558,,21.65
"2016-12-22 08:00:00",1013.737,11.95,0,95,41.38,0.422,,20.48
"2016-12-22 07:00:00",1014.177,11.95,0,95.2,40.17,0.557,,20.97
"2016-12-22 06:00:00",1015.303,11.96,0,95.1,40.17,0.556,,21.46
"2016-12-22 05:00:00",1015.997,11.96,0,95.5,40.99,0.558,,22.02
"2016-12-22 04:00:00",1016.62,11.96,0,95.6,40.17,0.557,,22.45
"2016-12-22 03:00:00",1017.319,11.97,0,95.7,40.45,0.558,,22.08
"2016-12-22 02:00:00",1018.14,11.98,0,96.4,40.04,0.557,,22.7
"2016-12-22 01:00:00",1018.648,11.99,0,96.6,40.44,0.557,,22.21
"2016-12-22 00:00:00",1019.778,12,0,97,35.58,0.759,,21.83
"2016-12-21 23:00:00",1020.791,12.02,0,97.4,40.44,0.422,,21.84
"2016-12-21 22:00:00",1021.293,12.04,0,96.5,40.18,0.559,,22.14
"2016-12-21 21:00:00",1021.512,12.07,0,97.1,40.87,0.361,,22.88
"2016-12-21 20:00:00",1022.004,12.1,0,95.9,41.01,0.699,,22.87
"2016-12-21 19:00:00",1022.76,12.13,0,95.7,39.66,0.429,,23.86
"2016-12-21 18:00:00",1023.264,12.17,0,95.2,40.74,0.564,,26.08
"2016-12-21 17:00:00",1023.768,12.22,0,94.4,40.06,0.564,,28.85
"2016-12-21 16:00:00",1024.272,12.3,0,93,39.8,0.566,,30.15
"2016-12-21 15:00:00",1024.47,12.41,0,90.4,39.76,0.572,,32.48
"2016-12-21 14:00:00",1025.227,12.69,0,80.6,38.48,0.504,,34.21
"2016-12-21 13:00:00",1025.546,12.58,0,77.02,38.74,0.235,,37.1
"2016-12-21 12:00:00",1026.794,12.15,0,87.4,40.06,0.497,,33.11
"2016-12-21 11:00:00",1027.55,12.06,0,92.2,40.2,0.362,,29.47
"2016-12-21 10:00:00",1028.056,12.01,0,94.5,40.47,0.497,,27.31
"2016-12-21 09:00:00",1028.342,11.98,0,97.3,40.72,0.424,,24.85
"2016-12-21 08:00:00",1028.088,11.97,0,97.4,40.99,0.356,,22.88
"2016-12-21 07:00:00",1028.315,11.97,0,96.8,41.27,0.696,,22.63
"2016-12-21 06:00:00",1028.559,11.97,0,97.6,41.14,0.564,,24.17
"2016-12-21 05:00:00",1028.81,11.98,0,97.4,41.14,1.643,,24.6
"2016-12-21 04:00:00",1029.441,11.98,0,97.6,41.21,1.643,,26.2
"2016-12-21 03:00:00",1029.567,11.98,0.01,97.6,56.85,1.778,,27.93
"2016-12-21 02:00:00",1029.441,11.98,0.01,97.1,41.01,1.643,,30.4
"2016-12-21 01:00:00",1029.315,11.98,0.01,97.1,42.49,1.643,,31.01
"2016-12-21 00:00:00",1029.063,11.98,0.02,97,42.22,1.575,,31.26
"2016-12-20 23:00:00",1028.432,11.99,0.01,96.6,41.55,1.575,,31.51
"2016-12-20 22:00:00",1027.55,11.99,0.02,94.3,41.55,1.575,,31.69
"2016-12-20 21:00:00",1027.046,11.99,0.02,93.9,42.09,1.575,,31.88
"2016-12-20 20:00:00",1027.298,11.99,0.02,90.8,43.3,1.575,,32.18
"2016-12-20 19:00:00",1026.542,11.99,0.02,90.4,43.3,1.643,,32.31
"2016-12-20 18:00:00",1025.785,11.99,0.02,90.2,41.95,1.575,,32.37
"2016-12-20 17:00:00",1025.407,11.99,0.02,94.6,41.95,1.441,,31.57
"2016-12-20 16:00:00",1024.273,12,0.02,91.6,42.36,1.575,,31.63
"2016-12-20 15:00:00",1023.264,12.01,0.03,86.3,41.82,1.373,,32.18
"2016-12-20 14:00:00",1022.634,12.01,0.02,90.6,40.74,1.171,,32
"2016-12-20 13:00:00",1021.752,12.01,0.02,89.2,43.44,1.103,,31.88
"2016-12-20 12:00:00",1021.121,12.01,0.04,88.9,41.01,0.834,,32.12
"2016-12-20 11:00:00",1019.987,12,0.02,83.6,42.09,1.171,,31.57
"2016-12-20 10:00:00",1019.231,12,0.02,81.8,37.43,1.171,,32.12
"2016-12-20 09:00:00",1017.718,11.99,0.02,91.1,42.69,0.969,,31.81
"2016-12-20 08:00:00",1016.079,11.99,0.08,86.7,43.3,0.969,,32.86
"2016-12-20 07:00:00",1014.063,11.99,0.13,95.9,42.76,1.171,,33.23
"2016-12-20 06:00:00",1012.928,11.99,0.13,98.3,43.44,1.171,,31.26
"2016-12-20 05:00:00",1012.739,12,0.25,98.1,43.44,4.138,,31.01
"2016-12-20 04:00:00",1013.18,12,0.24,98.1,43.84,4.205,,31.14
"2016-12-20 03:00:00",1013.18,12,0.05,98.2,43.97,4.542,,30.89
"2016-12-20 02:00:00",1013.432,12,0.01,98.1,43.44,4.003,,30.89
"2016-12-20 01:00:00",1013.811,12,0.02,98,43.84,4.138,,31.14
"2016-12-20 00:00:00",1015.386,12,0.02,98.1,43.03,3.126,,31.14
"2016-12-19 23:00:00",1015.323,12,0.05,98.1,41.28,2.452,,31.44
"2016-12-19 22:00:00",1016.962,12,0.09,98.1,42.36,2.587,,31.94
"2016-12-19 21:00:00",1018.222,12,0.07,98.1,43.84,2.587,,32.12
"2016-12-19 20:00:00",1019.735,12,0.03,97.9,42.49,2.519,,31.69
"2016-12-19 19:00:00",1020.239,12,0.01,97.8,42.49,2.587,,31.81
"2016-12-19 18:00:00",1020.995,12,0.02,98.1,42.63,2.587,,31.75
"2016-12-19 17:00:00",1021.247,12,0.02,97.8,206.7,2.587,,31.57
"2016-12-19 16:00:00",1020.855,12.03,0.04,96.9,42.91,2.589,,31.81
"2016-12-19 15:00:00",1020.705,12.06,0.05,96.4,42.78,2.591,,33.16
"2016-12-19 14:00:00",1020.726,12.05,0.06,95.5,42.64,2.454,,33.35
"2016-12-19 13:00:00",1020.479,12.02,0.07,96.2,43.04,2.454,,33.17
"2016-12-19 12:00:00",1019.974,12.02,0.1,96.1,44.45,2.587,,32.61
"2016-12-19 11:00:00",1019.42,12,0.11,96.9,43.37,2.317,,32.12
"2016-12-19 10:00:00",1018.727,11.99,0.04,97.4,43.97,2.452,,31.81
"2016-12-19 09:00:00",1017.088,11.99,0.01,97.4,43.97,2.317,,31.57
"2016-12-19 08:00:00",1016.71,11.98,0,97.4,44.85,2.047,,31.2
"2016-12-19 07:00:00",1016.332,11.98,0,97.4,43.17,1.103,,30.46
"2016-12-19 06:00:00",1016.458,11.98,0,97.2,-164.5,0.564,,27.44
"2016-12-19 05:00:00",1017.012,11.98,0,96.7,40.91,1.77,,25.6
"2016-12-19 04:00:00",1018.509,11.98,0,94.8,40.28,0.955,,20.37
"2016-12-19 03:00:00",1019.074,11.98,0,94.4,40.02,0.687,,18.82
"2016-12-19 02:00:00",1019.823,11.98,0,94.5,39.88,0.754,,18.57
"2016-12-19 01:00:00",1020.547,11.99,0,94.2,55.14,0.691,,18.94
"2016-12-19 00:00:00",1022.055,11.99,0,93.9,40.18,0.693,,19.68
"2016-12-18 23:00:00",1023.425,11.99,0,94,40.17,0.693,,20.72
"2016-12-18 22:00:00",1023.793,11.99,0,94,40.32,0.694,,21.52
"2016-12-18 21:00:00",1024.217,11.99,0,93.7,40.33,0.699,,22.57
"2016-12-18 20:00:00",1024.777,11.99,0.01,95.3,40.33,0.699,,23.86
"2016-12-18 19:00:00",1025.47,11.99,0,96.7,41.82,0.699,,24.54
"2016-12-18 18:00:00",1025.659,11.99,0,94.8,40.6,0.699,,25.53
"2016-12-18 17:00:00",1025.785,11.99,0,93.2,40.87,0.699,,25.89
"2016-12-18 16:00:00",1025.911,12.01,0,89.1,40.06,0.564,,27.56
"2016-12-18 15:00:00",1026.788,12.05,0,81.9,39.93,0.565,,30.15
"2016-12-18 14:00:00",1027.542,12.06,0,80.8,39.87,0.43,,31.26
"2016-12-18 13:00:00",1027.791,12.11,0,77.75,40.2,0.497,,32.12
"2016-12-18 12:00:00",1027.928,12.08,0,76.69,39.93,0.362,,32.49
