Date/Time (PST),Barometric Pressure  (mb) ,"Precipitation  ("") ",Relative Humidity  (%) ,"24 Hour Snow  ("") ",Temperature  (deg F) 
2016-01-06 06:00:00,1005.617,0.0,96.9,0.294,30.21
2016-01-06 07:00:00,1005.365,0.0,96.8,0.294,30.33
2016-01-06 08:00:00,1005.743,0.0,96.4,0.159,31.2
2016-01-06 09:00:00,1005.994,0.0,92.5,0.296,32.31
2016-01-06 10:00:00,1005.96,0.0,92.0,0.167,33.22
2016-01-06 11:00:00,1005.443,0.0,88.4,0.167,34.33
2016-01-06 12:00:00,1005.44,0.0,87.2,0.167,34.95
2016-01-06 13:00:00,1005.251,0.0,89.5,0.167,34.51
2016-01-06 14:00:00,1005.503,0.0,92.8,0.167,33.4
2016-01-06 15:00:00,1005.818,0.0,94.2,0.302,32.36
2016-01-06 16:00:00,1006.106,0.0,96.7,0.297,31.81
2016-01-06 17:00:00,1006.5,0.0,97.0,0.295,31.69
2016-01-06 18:00:00,1006.689,0.0,97.0,0.294,32.0
2016-01-06 19:00:00,1007.004,0.0,97.3,0.294,31.75
2016-01-06 20:00:00,1007.382,0.0,97.2,0.294,31.69
2016-01-06 21:00:00,1007.382,0.0,97.4,0.294,31.81
2016-01-06 22:00:00,1007.76,0.0,97.4,0.294,31.63
2016-01-06 23:00:00,1008.138,0.0,97.3,0.294,31.69
2016-01-07 00:00:00,1008.391,0.0,97.4,0.294,31.57
2016-01-07 01:00:00,1008.643,0.0,97.2,0.294,31.57
2016-01-07 02:00:00,1009.147,0.0,97.4,0.294,31.44
2016-01-07 03:00:00,1009.525,0.0,97.2,0.362,31.44
2016-01-07 04:00:00,1009.651,0.0,97.7,0.294,31.2
2016-01-07 05:00:00,1010.029,0.0,97.0,0.294,30.58
2016-01-07 06:00:00,1010.407,0.0,97.3,0.294,30.95
2016-01-07 07:00:00,1010.659,0.0,97.3,0.294,31.26
2016-01-07 08:00:00,1011.164,0.0,96.9,0.159,31.88
2016-01-07 09:00:00,1011.727,0.0,94.7,0.16,33.6
2016-01-07 10:00:00,1012.014,0.0,92.6,0.099,35.63
2016-01-07 11:00:00,1011.995,0.0,90.8,0.167,35.5
2016-01-07 12:00:00,1011.868,0.0,92.1,0.167,35.62
2016-01-07 13:00:00,1012.246,0.0,93.0,0.167,34.64
2016-01-07 14:00:00,1012.624,0.0,93.3,0.167,34.21
2016-01-07 15:00:00,1013.005,0.0,95.3,0.301,32.48
2016-01-07 16:00:00,1013.678,0.0,96.9,0.164,31.75
2016-01-07 17:00:00,1013.811,0.0,97.2,0.362,31.44
2016-01-07 18:00:00,1014.063,0.0,97.5,0.362,31.32
2016-01-07 19:00:00,1014.0,0.0,97.6,0.294,31.32
2016-01-07 20:00:00,1014.189,0.0,97.9,0.294,31.14
2016-01-07 21:00:00,1014.315,0.0,97.8,0.294,31.2
2016-01-07 22:00:00,1014.693,0.0,97.8,0.294,31.07
2016-01-07 23:00:00,1014.756,0.0,97.9,0.294,31.07
2016-01-08 00:00:00,1014.945,0.0,97.9,0.294,31.14
2016-01-08 01:00:00,1015.197,0.0,97.9,0.294,30.77
2016-01-08 02:00:00,1015.449,0.0,98.0,0.294,30.77
2016-01-08 03:00:00,1015.575,0.0,97.9,0.294,30.83
2016-01-08 04:00:00,1015.575,0.0,98.0,0.294,30.7
2016-01-08 05:00:00,1015.827,0.0,98.0,0.294,30.77
2016-01-08 06:00:00,1015.827,0.0,97.9,0.294,30.83
2016-01-08 07:00:00,1016.206,0.0,97.9,28.61,30.7
2016-01-08 08:00:00,1016.71,0.0,97.9,28.61,31.38
2016-01-08 09:00:00,1016.962,0.0,97.2,28.61,32.55
2016-01-08 10:00:00,1016.958,0.0,95.3,0.296,35.45
2016-01-08 11:00:00,1016.85,0.0,91.4,0.164,35.56
2016-01-08 12:00:00,1016.594,0.0,92.4,0.167,34.82
2016-01-08 13:00:00,1016.342,0.0,91.9,0.167,34.76
2016-01-08 14:00:00,1016.405,0.0,93.3,0.302,33.47
2016-01-08 15:00:00,1016.411,0.0,95.6,0.301,32.17
2016-01-08 16:00:00,1016.709,0.0,96.4,0.295,31.75
2016-01-08 17:00:00,1016.458,0.0,96.6,0.294,31.44
2016-01-08 18:00:00,1016.71,0.0,96.7,0.362,31.14
2016-01-08 19:00:00,1016.71,0.0,96.8,0.294,30.7
2016-01-08 20:00:00,1016.836,0.0,97.3,0.294,30.27
2016-01-08 21:00:00,1016.962,0.0,97.8,0.294,30.09
2016-01-08 22:00:00,1016.899,0.0,97.6,0.294,29.9
2016-01-08 23:00:00,1016.71,0.0,97.6,0.294,29.72
2016-01-09 00:00:00,1016.458,0.0,97.8,0.294,29.53
2016-01-09 01:00:00,1016.773,0.0,97.7,0.294,29.1
2016-01-09 02:00:00,1016.962,0.0,97.5,0.294,29.22
2016-01-09 03:00:00,1017.088,0.0,97.4,0.294,28.85
2016-01-09 04:00:00,1017.088,0.0,97.3,0.362,28.42
2016-01-09 05:00:00,1017.466,0.0,96.7,0.294,27.93
2016-01-09 06:00:00,1017.781,0.0,96.2,0.362,27.62
2016-01-09 07:00:00,1018.222,0.0,96.0,0.362,27.5
2016-01-09 08:00:00,1018.474,0.0,94.2,0.294,27.99
2016-01-09 09:00:00,1018.979,0.0,89.9,0.159,29.22
2016-01-09 10:00:00,1019.105,0.0,83.5,0.159,31.01
2016-01-09 11:00:00,1019.105,0.0,80.9,0.159,32.0
2016-01-09 12:00:00,1018.978,0.0,80.5,0.16,32.12
2016-01-09 13:00:00,1019.097,0.0,79.36,0.16,31.87
2016-01-09 14:00:00,1019.418,0.0,83.7,0.162,30.64
2016-01-09 15:00:00,1019.987,0.0,86.4,0.294,29.78
2016-01-09 16:00:00,1020.617,0.0,91.4,0.362,28.36
2016-01-09 17:00:00,1020.869,0.0,92.0,0.294,27.93
2016-01-09 18:00:00,1021.121,0.0,92.2,0.362,27.68
2016-01-09 19:00:00,1021.752,0.0,92.5,0.362,27.5
2016-01-09 20:00:00,1022.004,0.0,93.1,0.362,27.0
2016-01-09 21:00:00,1022.382,0.0,92.5,0.362,27.0
2016-01-09 22:00:00,1022.634,0.0,92.4,0.362,26.76
2016-01-09 23:00:00,1022.76,0.0,92.2,0.294,26.45
2016-01-10 00:00:00,1022.76,0.0,91.9,0.294,26.33
2016-01-10 01:00:00,1023.264,0.0,92.4,0.294,25.96
2016-01-10 02:00:00,1023.642,0.0,91.8,0.362,25.71
2016-01-10 03:00:00,1023.579,0.0,91.5,0.294,25.34
2016-01-10 04:00:00,1023.516,0.0,92.2,0.294,25.09
2016-01-10 05:00:00,1023.642,0.0,92.2,0.294,24.79
2016-01-10 06:00:00,1023.642,0.0,91.7,0.294,24.42
2016-01-10 07:00:00,1024.021,0.0,91.5,0.294,24.48
2016-01-10 08:00:00,1024.525,0.0,91.4,0.294,25.09
2016-01-10 09:00:00,1024.651,0.0,87.4,0.159,25.53
2016-01-10 10:00:00,1024.777,0.0,84.5,0.159,26.94
2016-01-10 11:00:00,1024.777,0.0,84.3,0.159,27.62
2016-01-10 12:00:00,1024.147,0.0,82.8,0.159,28.24
2016-01-10 13:00:00,1023.769,0.0,81.1,0.159,28.98
2016-01-10 14:00:00,1023.39,0.0,84.7,0.294,27.81
2016-01-10 15:00:00,1023.453,0.0,86.3,0.159,27.31
2016-01-10 16:00:00,1022.886,0.0,88.4,0.294,25.77
2016-01-10 17:00:00,1023.264,0.0,88.9,0.362,25.22
2016-01-10 18:00:00,1023.516,0.0,89.4,0.294,25.03
2016-01-10 19:00:00,1023.453,0.0,90.7,0.294,24.66
2016-01-10 20:00:00,1023.138,0.0,90.7,0.294,24.29
2016-01-10 21:00:00,1022.76,0.0,91.5,0.361,23.31
2016-01-10 22:00:00,1023.022,0.0,94.5,0.294,21.58
2016-01-10 23:00:00,1022.909,0.0,96.3,0.29,20.72
2016-01-11 00:00:00,1022.552,0.0,96.0,0.155,19.0
2016-01-11 01:00:00,1022.697,0.0,95.9,0.152,18.01
2016-01-11 02:00:00,1022.858,0.0,95.7,0.283,18.14
2016-01-11 03:00:00,1022.229,0.0,95.3,0.349,17.9
2016-01-11 04:00:00,1021.851,0.0,95.1,0.279,17.16
2016-01-11 05:00:00,1022.236,0.0,94.7,0.281,18.27
2016-01-11 06:00:00,1022.1,0.0,95.6,0.145,19.62
2016-01-11 07:00:00,1022.344,0.0,94.4,0.281,19.87
2016-01-11 08:00:00,1022.309,0.0,93.3,0.287,22.58
2016-01-11 09:00:00,1022.383,0.0,93.2,0.292,25.03
2016-01-11 10:00:00,1022.13,0.02,93.0,0.497,26.26
2016-01-11 11:00:00,1021.941,0.01,92.0,0.159,26.82
2016-01-11 12:00:00,1021.878,0.04,92.0,0.834,27.13
2016-01-11 13:00:00,1022.004,0.05,93.1,1.643,26.94
2016-01-11 14:00:00,1022.004,0.04,93.1,2.047,27.07
2016-01-11 15:00:00,1022.004,0.03,94.7,2.317,26.45
2016-01-11 16:00:00,1022.004,0.06,95.4,1.778,26.33
2016-01-11 17:00:00,1022.004,0.0,95.4,1.98,25.9
2016-01-11 18:00:00,1022.256,0.03,95.3,2.587,25.83
2016-01-11 19:00:00,1022.382,0.01,95.7,2.587,25.71
2016-01-11 20:00:00,1022.634,0.01,96.0,2.452,25.71
2016-01-11 21:00:00,1022.823,0.0,95.5,2.452,25.53
2016-01-11 22:00:00,1022.634,0.0,95.7,2.452,25.46
2016-01-11 23:00:00,1022.256,0.0,95.4,2.317,25.28
2016-01-12 00:00:00,1021.752,0.0,95.5,2.317,24.97
2016-01-12 01:00:00,1021.374,0.01,95.6,2.654,24.91
2016-01-12 02:00:00,1021.374,0.0,96.0,2.587,24.72
2016-01-12 03:00:00,1020.995,0.0,96.0,2.587,24.48
2016-01-12 04:00:00,1020.743,0.0,96.2,2.587,24.42
2016-01-12 05:00:00,1019.735,0.0,96.4,0.294,24.29
2016-01-12 06:00:00,1019.231,0.0,96.2,0.294,24.48
2016-01-12 07:00:00,1018.853,0.0,96.1,0.294,24.79
2016-01-12 08:00:00,1018.853,0.0,95.8,0.294,25.03
2016-01-12 09:00:00,1018.79,0.0,95.8,0.294,25.46
2016-01-12 10:00:00,1018.096,0.0,96.1,0.159,25.83
2016-01-12 11:00:00,1016.332,0.0,93.5,0.294,27.07
2016-01-12 12:00:00,1015.197,0.0,94.4,0.294,26.94
2016-01-12 13:00:00,1014.315,0.03,94.4,0.294,27.19
2016-01-12 14:00:00,1013.307,0.05,95.6,1.441,27.07
2016-01-12 15:00:00,1012.676,0.06,96.5,2.452,26.82
2016-01-12 16:00:00,1012.424,0.1,96.7,4.34,26.51
2016-01-12 17:00:00,1011.29,0.13,96.8,5.891,26.51
2016-01-12 18:00:00,1010.786,0.13,96.9,7.374,26.63
2016-01-12 19:00:00,1009.84,0.16,96.9,8.12,26.7
2016-01-12 20:00:00,1009.273,0.12,96.8,9.19,26.88
2016-01-12 21:00:00,1008.265,0.06,96.8,10.14,27.07
2016-01-12 22:00:00,1007.256,0.1,96.8,10.95,27.25
2016-01-12 23:00:00,1006.752,0.1,96.6,11.49,27.31
2016-01-13 00:00:00,1006.311,0.07,96.8,11.49,27.62
2016-01-13 01:00:00,1006.122,0.06,96.9,10.34,28.24
2016-01-13 02:00:00,1006.122,0.08,96.6,11.42,28.24
2016-01-13 03:00:00,1005.996,0.08,96.6,12.23,28.18
2016-01-13 04:00:00,1005.744,0.07,96.6,12.3,28.36
2016-01-13 05:00:00,1005.744,0.12,96.5,12.57,28.42
2016-01-13 06:00:00,1005.491,0.07,96.9,0.362,28.61
2016-01-13 07:00:00,1005.239,0.03,96.6,0.766,29.29
2016-01-13 08:00:00,1005.87,0.03,95.9,0.429,30.15
2016-01-13 09:00:00,1006.122,0.08,95.5,1.238,30.58
2016-01-13 10:00:00,1006.752,0.07,90.9,1.778,33.05
2016-01-13 11:00:00,1006.581,0.02,89.0,1.784,34.21
2016-01-13 12:00:00,1007.079,0.01,89.9,1.987,35.75
2016-01-13 13:00:00,1007.835,0.0,88.6,2.055,33.59
2016-01-13 14:00:00,1008.465,0.0,88.5,1.785,34.64
2016-01-13 15:00:00,1009.095,0.01,91.4,1.785,31.43
2016-01-13 16:00:00,1009.879,0.0,95.1,1.914,30.58
2016-01-13 17:00:00,1010.659,0.0,96.0,1.845,30.09
2016-01-13 18:00:00,1011.416,0.03,96.5,2.317,30.64
2016-01-13 19:00:00,1012.298,0.0,97.2,2.182,30.4
2016-01-13 20:00:00,1013.18,0.11,97.0,3.396,30.21
2016-01-13 21:00:00,1013.685,0.02,96.6,3.396,30.77
2016-01-13 22:00:00,1014.063,0.0,96.4,3.666,31.2
2016-01-13 23:00:00,1014.693,0.06,96.3,3.935,30.83
2016-01-14 00:00:00,1014.567,0.04,96.5,4.138,30.77
2016-01-14 01:00:00,1014.693,0.06,96.6,4.138,30.52
2016-01-14 02:00:00,1014.945,0.04,96.8,3.531,30.4
2016-01-14 03:00:00,1015.071,0.01,97.1,4.61,29.9
2016-01-14 04:00:00,1015.197,0.01,97.2,4.744,29.16
2016-01-14 05:00:00,1015.197,0.0,98.0,4.812,28.67
2016-01-14 06:00:00,1014.756,0.0,97.6,0.294,28.61
2016-01-14 07:00:00,1014.693,0.0,97.4,0.025,25.96
2016-01-14 08:00:00,1014.315,0.0,96.0,0.092,26.08
2016-01-14 09:00:00,1014.275,0.0,88.4,0.099,29.71
2016-01-14 10:00:00,1013.506,0.0,78.7,-0.371,35.01
2016-01-14 11:00:00,1012.337,0.0,76.5,-0.167,39.25
2016-01-14 12:00:00,1011.397,0.0,69.17,-0.166,40.73
2016-01-14 13:00:00,1010.355,0.0,73.39,-0.035,38.03
2016-01-14 14:00:00,1009.725,0.0,82.4,-0.035,34.95
2016-01-14 15:00:00,1009.473,0.0,90.1,0.167,32.48
2016-01-14 16:00:00,1009.142,0.0,94.7,0.362,29.1
2016-01-14 17:00:00,1009.273,0.0,93.7,0.159,29.04
2016-01-14 18:00:00,1009.273,0.0,93.7,0.159,27.07
2016-01-14 19:00:00,1009.273,0.0,94.1,0.092,26.57
2016-01-14 20:00:00,1009.273,0.0,95.2,0.159,24.48
2016-01-14 21:00:00,1009.525,0.0,96.8,0.025,24.66
2016-01-14 22:00:00,1009.906,0.0,97.3,0.159,23.31
2016-01-14 23:00:00,1010.559,0.0,95.6,0.153,19.73
2016-01-15 00:00:00,1010.571,0.0,95.8,0.152,21.96
2016-01-15 01:00:00,1010.957,0.0,96.0,0.287,23.56
2016-01-15 02:00:00,1011.756,0.0,95.8,0.293,24.3
2016-01-15 03:00:00,1012.199,0.0,96.7,0.158,24.17
2016-01-15 04:00:00,1012.178,0.0,96.1,0.294,24.17
2016-01-15 05:00:00,1012.553,0.0,95.7,0.294,24.79
2016-01-15 06:00:00,1012.929,0.0,95.6,0.362,25.28
2016-01-15 07:00:00,1013.18,0.04,95.6,0.159,25.28
2016-01-15 08:00:00,1014.063,0.04,95.4,0.294,26.7
2016-01-15 09:00:00,1014.693,0.01,95.1,-0.38,29.04
2016-01-15 10:00:00,1015.323,0.03,92.8,0.834,29.96
2016-01-15 11:00:00,1014.945,0.03,84.7,1.103,32.25
2016-01-15 12:00:00,1014.753,0.04,82.2,1.373,33.54
2016-01-15 13:00:00,1014.309,0.03,83.8,1.575,33.48
2016-01-15 14:00:00,1014.189,0.02,88.9,1.575,32.0
2016-01-15 15:00:00,1014.315,0.01,91.8,1.575,31.07
2016-01-15 16:00:00,1014.567,0.02,93.4,1.238,30.03
2016-01-15 17:00:00,1014.441,0.02,94.5,1.643,29.9
2016-01-15 18:00:00,1014.189,0.03,94.9,2.047,29.9
2016-01-15 19:00:00,1014.063,0.0,95.8,2.047,29.22
2016-01-15 20:00:00,1013.811,0.0,96.4,2.047,28.79
2016-01-15 21:00:00,1013.306,0.0,96.9,2.182,28.3
2016-01-15 22:00:00,1012.928,0.0,97.5,2.182,28.18
2016-01-15 23:00:00,1012.424,0.0,97.4,2.047,28.05
2016-01-16 00:00:00,1011.794,0.01,97.0,2.047,27.68
2016-01-16 01:00:00,1011.29,0.04,96.6,2.047,27.31
2016-01-16 02:00:00,1011.037,0.03,96.6,2.722,27.13
2016-01-16 03:00:00,1010.407,0.05,96.6,3.126,26.63
2016-01-16 04:00:00,1009.777,0.06,96.5,4.138,26.57
2016-01-16 05:00:00,1009.147,0.05,96.6,0.159,26.57
2016-01-16 06:00:00,1009.336,0.08,96.7,1.238,26.26
2016-01-16 07:00:00,1009.147,0.12,96.8,2.587,26.57
2016-01-16 08:00:00,1009.651,0.09,96.6,3.666,27.07
2016-01-16 09:00:00,1009.777,0.06,95.6,3.531,27.56
2016-01-16 10:00:00,1010.533,0.1,93.7,5.014,29.04
2016-01-16 11:00:00,1010.533,0.14,87.8,5.216,32.37
2016-01-16 12:00:00,1009.903,0.13,87.9,5.554,31.88
2016-01-16 13:00:00,1009.903,0.06,89.2,5.419,32.12
2016-01-16 14:00:00,1010.659,0.08,91.1,5.688,31.94
2016-01-16 15:00:00,1011.92,0.06,93.8,6.295,29.84
2016-01-16 16:00:00,1012.172,0.12,95.0,7.104,29.66
2016-01-16 17:00:00,1012.676,0.04,95.7,7.172,29.9
2016-01-16 18:00:00,1013.495,0.03,96.5,7.307,29.84
2016-01-16 19:00:00,1013.937,0.03,96.7,7.307,30.03
2016-01-16 20:00:00,1014.315,0.02,96.7,7.172,30.33
2016-01-16 21:00:00,1014.378,0.0,97.3,7.104,31.38
2016-01-16 22:00:00,1014.693,0.0,97.0,7.104,31.14
2016-01-16 23:00:00,1015.008,0.0,97.6,7.037,27.56
2016-01-17 00:00:00,1015.323,0.0,97.5,7.037,27.62
2016-01-17 01:00:00,1015.449,0.0,97.4,7.037,27.37
2016-01-17 02:00:00,1014.693,0.0,97.3,6.902,27.68
2016-01-17 03:00:00,1014.189,0.0,97.3,6.902,27.31
2016-01-17 04:00:00,1011.668,0.0,97.7,6.767,27.13
2016-01-17 05:00:00,1011.353,0.0,97.7,0.362,28.73
2016-01-17 06:00:00,1010.785,0.0,96.8,0.294,29.72
2016-01-17 07:00:00,1010.785,0.0,96.9,0.362,28.18
2016-01-17 08:00:00,1010.785,0.03,97.1,0.092,27.56
2016-01-17 09:00:00,1010.911,0.05,96.8,-1.459,27.99
2016-01-17 10:00:00,1010.407,0.06,96.3,1.575,28.73
2016-01-17 11:00:00,1010.533,0.09,95.1,2.317,28.98
2016-01-17 12:00:00,1010.281,0.09,91.5,3.261,31.57
2016-01-17 13:00:00,1009.903,0.06,89.2,3.733,32.37
2016-01-17 14:00:00,1009.964,0.03,91.4,3.935,32.31
2016-01-17 15:00:00,1009.903,0.02,94.0,3.935,30.27
2016-01-17 16:00:00,1010.407,0.02,94.4,4.138,29.72
2016-01-17 17:00:00,1010.407,0.01,95.4,4.205,29.59
2016-01-17 18:00:00,1010.785,0.03,96.1,4.407,29.35
2016-01-17 19:00:00,1011.164,0.04,96.2,4.61,29.59
2016-01-17 20:00:00,1011.542,0.03,96.3,4.542,29.35
2016-01-17 21:00:00,1011.794,0.01,96.7,4.61,29.47
2016-01-17 22:00:00,1012.046,0.01,96.7,4.61,29.84
